,X-STD,X-Mean,tol_1-mean,tol_1-std,tol_2-mean,tol_2-std
AUROC,0.50(0.00),0.50(0.00),0.50(0.00),0.50(0.00),0.50(0.00),0.50(0.00)
AUPR,0.59(0.00),0.59(0.00),0.62(0.00),0.62(0.00),0.56(0.00),0.56(0.00)
