epoch,loss
0,0.005598947654958452
1,0.0037039269472773423
2,0.0032708378759430524
3,0.0030647908266073706
4,0.0029127393331449215
5,0.0027945312973001704
6,0.002721299877116973
7,0.0026321637511350793
8,0.0026120243469547324
9,0.002559589085509691
10,0.0025166762019721003
11,0.0024876330214520506
12,0.00244054561915397
13,0.0024223446569899667
14,0.002403345129188241
15,0.0023960708375343255
16,0.002364891991111785
17,0.002355762027066586
18,0.002338729456474317
19,0.002324619618836371
20,0.0023118300981163757
21,0.002290597628989035
22,0.0022908380892596213
23,0.002282928805091653
24,0.0022774250964836275
