epoch,loss
0,0.01022912199985046
1,0.007078260740115206
2,0.006440524322742197
3,0.006086770763183157
4,0.005898182642783451
5,0.005719064022831413
6,0.005575858869035045
7,0.005491510847361658
8,0.005414478578090122
9,0.005325183503065816
10,0.005292181218670175
11,0.005236109875676038
12,0.005159511180007897
13,0.005135490870447458
14,0.005102112518096059
15,0.00508307646825808
16,0.005056537005673157
17,0.005027935879065696
18,0.0049910049501309655
19,0.004964598858814442
20,0.004949791909471026
21,0.004936226001686752
22,0.004926533430467445
23,0.004901540394825079
24,0.004884779938305658
